"Country"	"Year"	"Prevalence_females"	"Prevalence_males"	"Prevalence_both"	"GDP"	"Education"	"Education_females"	"Education_males"	"Affordability"	"Cig_taxes"	"Campaigns"	"Help"	"Warn"	"Bans"	"Protect"	"Monitor"	"HDI_MHI"	"HDI_MHI_clustering"
"160"	"Japan"	"2020"	10	30.1	20.1	40658.68035	NA	NA	NA	1.22	0.61	5	4	4	2	3	4	0.584586466165414	3
"161"	"Korea"	"2007"	6.568	51.656	29.148	30816.535499	51.3635	46.71	55.9525	0.94	0.62	5	5	3	2	2	4	0.503759398496241	2
"162"	"Korea"	"2008"	6.508	50.256	28.408	31504.947286	51.3635	46.71	55.9525	0.94	0.62	5	5	3	2	2	4	0.503759398496241	2
"163"	"Korea"	"2010"	6.4	47.6	27	33574.014063	45.29	39.665	50.907	0.94	0.62	5	5	3	2	2	4	0.503759398496241	2
"164"	"Korea"	"2012"	6.308	45.056	25.672	35189.061744	51.3635	46.71	55.9525	0.87	0.62	5	5	3	2	2	4	0.503759398496241	2
"165"	"Korea"	"2014"	6.232	42.544	24.408	37061.433257	51.3635	46.71	55.9525	0.81	0.62	5	5	3	2	2	4	0.503759398496241	2
"166"	"Korea"	"2016"	6.15777777777778	40.0955555555555	23.2	38864.647711	51.3635	46.71	55.9525	1.32	0.74	5	5	4	2	2	4	0.503759398496241	2
"167"	"Korea"	"2018"	6	37.9	22	40964.752746	51.3635	46.71	55.9525	1.22	0.74	5	5	4	2	2	4	0.503759398496241	2
"168"	"Korea"	"2020"	5.9	35.7	20.8	41385.489575	57.437	53.755	60.998	1.23	0.74	5	5	4	2	2	4	0.503759398496241	2
"169"	"Latvia"	"2007"	24.272	53.192	38.788	23875.828477	22.2	26.5	17.3	2.53	0.72	2	3	3	4	2	4	0.208646616541353	2
"170"	"Latvia"	"2008"	24.152	52.712	38.488	23347.227196	24.8	30.5	18.5	2.53	0.72	2	3	4	4	4	4	0.208646616541353	2
"171"	"Latvia"	"2010"	23.9	51.8	37.9	19859.505506	26.9	32.7	20.4	2.53	0.81	2	4	4	4	3	4	0.208646616541353	2
"172"	"Latvia"	"2012"	23.664	50.904	37.328	22487.521058	29.2	36.4	21.2	2.37	0.79	2	4	4	4	3	4	0.208646616541353	2
